,1,2,3,4,5,6,7,8,9,10,11
0,662.64,1802.933,410.903,1780.569,240.8696,1451.4575,152.1421,1449.525,184.9428,577.8775,160.8227
1,665.76,1819.4665,412.5715,1780.076,244.2007,1473.549,151.4604,1474.936,184.0826,583.372,164.9088
2,668.04,1814.007,418.193,1788.1205,246.2395,1474.42,151.1106,1491.956,189.3893,598.4525,166.676
3,672.72,1799.526,425.4954,1811.0185,246.6192,1499.0445,151.5638,1518.385,196.5688,595.6375,167.5073
4,673.92,1796.5585,427.4675,1813.4065,250.2938,1503.403,154.3277,1521.936,203.9956,584.064,172.591
5,675.84,1802.5215,428.5501,1850.112,254.6566,1480.9345,154.2266,1525.427,210.2538,584.883,177.3404
6,678.72,1818.404,428.6117,1870.439,256.6919,1501.385,153.9337,1542.1085,214.0682,604.6265,182.3042
7,678.84,1832.0195,432.9642,1878.407,260.8782,1511.5505,156.812,1544.078,217.2288,607.562,185.527
8,679.32,1853.4115,438.5011,1902.379,269.1466,1507.5245,155.2926,1536.1125,219.9638,613.9355,189.4624
9,682.32,1881.4975,446.169,1925.564,277.909,1526.4065,157.5476,1553.415,223.4598,633.989,193.4377
10,685.44,1891.529,451.4308,1945.507,281.6473,1553.3785,158.6108,1553.093,230.3078,625.464,198.2292
11,686.04,1902.046,453.4724,1967.5055,284.295,1579.893,161.631,1567.6015,235.9291,629.4415,203.2736
12,689.28,1913.6135,459.2672,2004.369,285.0173,1590.5135,170.0454,1598.555,240.4898,645.051,208.5761
13,691.68,1939.586,461.2814,2045.932,288.4997,1604.4095,173.1275,1627.4655,245.0622,645.568,212.7607
14,698.64,1922.4245,460.4736,2070.012,293.2891,1594.646,177.3847,1637.1465,242.4281,645.0775,213.3647
15,707.04,1920.4975,464.5253,2091.66,295.8256,1602.9185,179.6588,1644.1625,246.8276,651.066,211.3343
16,708.48,1896.0695,467.03,2105.957,296.0738,1605.888,182.7878,1652.5295,254.7694,649.145,216.0864
17,712.56,1911.1455,470.4322,2126.101,299.0615,1648.389,177.3562,1695.596,258.3743,656.446,219.8248
18,717.84,1931.887,473.7744,2146.0425,297.9754,1677.951,170.9894,1714.441,261.3655,652.636,219.7308
19,725.64,1912.666,472.1014,2165.1285,297.9478,1698.9045,167.2601,1743.048,260.795,650.657,219.1433
