,node,past1,past2,past3
3,2.5711,2.3245,2.4978,2.5585
4,2.473,2.5711,2.3245,2.4978
5,2.3791,2.473,2.5711,2.3245
6,2.3194,2.3791,2.473,2.5711
7,2.2428,2.3194,2.3791,2.473
8,2.2591,2.2428,2.3194,2.3791
9,2.1997,2.2591,2.2428,2.3194
10,2.2539,2.1997,2.2591,2.2428
11,2.2548,2.2539,2.1997,2.2591
12,2.2552,2.2548,2.2539,2.1997
13,2.125,2.2552,2.2548,2.2539
14,2.1207,2.125,2.2552,2.2548
15,2.1961,2.1207,2.125,2.2552
16,2.4108,2.1961,2.1207,2.125
17,2.3591,2.4108,2.1961,2.1207
18,2.2811,2.3591,2.4108,2.1961
19,2.3124,2.2811,2.3591,2.4108
20,2.3071,2.3124,2.2811,2.3591
21,2.3142,2.3071,2.3124,2.2811
22,2.3066,2.3142,2.3071,2.3124
23,2.3034,2.3066,2.3142,2.3071
24,2.2916,2.3034,2.3066,2.3142
25,2.2871,2.2916,2.3034,2.3066
26,2.2832,2.2871,2.2916,2.3034
27,2.2718,2.2832,2.2871,2.2916
28,2.2676,2.2718,2.2832,2.2871
29,2.2724,2.2676,2.2718,2.2832
30,2.2775,2.2724,2.2676,2.2718
31,2.2771,2.2775,2.2724,2.2676
32,2.278,2.2771,2.2775,2.2724
33,2.2691,2.278,2.2771,2.2775
34,2.272,2.2691,2.278,2.2771
35,2.2752,2.272,2.2691,2.278
36,2.2849,2.2752,2.272,2.2691
37,2.2834,2.2849,2.2752,2.272
38,2.2794,2.2834,2.2849,2.2752
39,2.283,2.2794,2.2834,2.2849
40,2.2718,2.283,2.2794,2.2834
41,2.267,2.2718,2.283,2.2794
42,2.263,2.267,2.2718,2.283
43,2.2579,2.263,2.267,2.2718
44,2.2477,2.2579,2.263,2.267
45,2.2511,2.2477,2.2579,2.263
46,2.2576,2.2511,2.2477,2.2579
47,2.2532,2.2576,2.2511,2.2477
48,2.2768,2.2532,2.2576,2.2511
49,2.2785,2.2768,2.2532,2.2576
50,2.2789,2.2785,2.2768,2.2532
51,2.2638,2.2789,2.2785,2.2768
52,2.2434,2.2638,2.2789,2.2785
53,2.2381,2.2434,2.2638,2.2789
54,2.2562,2.2381,2.2434,2.2638
55,2.2562,2.2562,2.2381,2.2434
56,2.2609,2.2562,2.2562,2.2381
57,2.2615,2.2609,2.2562,2.2562
58,2.2546,2.2615,2.2609,2.2562
59,2.2562,2.2546,2.2615,2.2609
60,2.2595,2.2562,2.2546,2.2615
61,2.2494,2.2595,2.2562,2.2546
62,2.2499,2.2494,2.2595,2.2562
