,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,1.0,0.653,0.6201,0.6449,0.3635,0.5257,0.2296,0.525,0.2791,0.2093,0.2427
1,0.0,1.0,0.6559,0.6197,0.6417,0.3668,0.5312,0.2275,0.5317,0.2765,0.2103,0.2477
2,0.0,1.0,0.6517,0.626,0.6424,0.3686,0.5297,0.2262,0.536,0.2835,0.215,0.2495
3,0.0,1.0,0.642,0.6325,0.6461,0.3666,0.5348,0.2253,0.5417,0.2922,0.2125,0.249
4,0.0,1.0,0.6398,0.6343,0.6458,0.3714,0.5354,0.229,0.542,0.3027,0.208,0.2561
5,0.0,1.0,0.6401,0.6341,0.657,0.3768,0.5259,0.2282,0.5417,0.3111,0.2077,0.2624
6,0.0,1.0,0.643,0.6315,0.6614,0.3782,0.5309,0.2268,0.5453,0.3154,0.2138,0.2686
7,0.0,1.0,0.6477,0.6378,0.6641,0.3843,0.5344,0.231,0.5459,0.32,0.2148,0.2733
8,0.0,1.0,0.6548,0.6455,0.6721,0.3962,0.5326,0.2286,0.5427,0.3238,0.2169,0.2789
9,0.0,1.0,0.6618,0.6539,0.6773,0.4073,0.5369,0.2309,0.5464,0.3275,0.223,0.2835
10,0.0,1.0,0.6623,0.6586,0.6812,0.4109,0.5439,0.2314,0.5438,0.336,0.219,0.2892
11,0.0,1.0,0.6654,0.661,0.6883,0.4144,0.5527,0.2356,0.5484,0.3439,0.2202,0.2963
12,0.0,1.0,0.6663,0.6663,0.6979,0.4135,0.5538,0.2467,0.5566,0.3489,0.2246,0.3026
13,0.0,1.0,0.673,0.6669,0.7099,0.4171,0.5567,0.2503,0.5647,0.3543,0.224,0.3076
14,0.0,1.0,0.6604,0.6591,0.7111,0.4198,0.5478,0.2539,0.5624,0.347,0.2216,0.3054
15,0.0,1.0,0.6519,0.657,0.71,0.4184,0.5441,0.2541,0.5581,0.3491,0.221,0.2989
16,0.0,1.0,0.6423,0.6592,0.7134,0.4179,0.544,0.258,0.5598,0.3596,0.2199,0.305
17,0.0,1.0,0.6437,0.6602,0.7161,0.4197,0.5552,0.2489,0.5711,0.3626,0.2211,0.3085
18,0.0,1.0,0.6459,0.66,0.7175,0.4151,0.561,0.2382,0.5732,0.3641,0.2182,0.3061
19,0.0,1.0,0.6326,0.6506,0.7161,0.4106,0.5619,0.2305,0.5765,0.3594,0.2152,0.302
20,0.0,1.0,0.6287,0.6415,0.7153,0.4128,0.5564,0.2285,0.5747,0.3554,0.2096,0.3015
21,0.0,1.0,0.6306,0.6344,0.7077,0.417,0.5536,0.2292,0.5707,0.3582,0.207,0.3024
22,0.0,1.0,0.629,0.629,0.7032,0.4184,0.545,0.2249,0.568,0.3554,0.2098,0.3057
23,0.0,1.0,0.6269,0.6288,0.7048,0.4188,0.537,0.2215,0.57,0.3542,0.209,0.3091
24,0.0,1.0,0.6267,0.6297,0.7013,0.4214,0.5369,0.2199,0.5759,0.3539,0.209,0.3154
25,0.0,1.0,0.6208,0.6313,0.6997,0.4175,0.5366,0.2227,0.5761,0.3525,0.2093,0.3216
26,0.0,1.0,0.6225,0.6356,0.7049,0.4165,0.5311,0.227,0.5749,0.3594,0.2101,0.3237
27,0.0,1.0,0.618,0.6263,0.6955,0.4162,0.5325,0.2266,0.5708,0.3655,0.2084,0.3284
28,0.0,1.0,0.6153,0.6261,0.6923,0.4265,0.5387,0.2257,0.5654,0.3616,0.2167,0.3296
29,0.0,1.0,0.6153,0.6338,0.6952,0.4307,0.5411,0.2287,0.5602,0.3639,0.2192,0.3353
30,0.0,1.0,0.6193,0.6373,0.6975,0.436,0.5386,0.226,0.5552,0.3718,0.2191,0.3446
31,0.0,1.0,0.6223,0.6363,0.6958,0.4354,0.5399,0.2279,0.554,0.3787,0.2229,0.3489
32,0.0,1.0,0.6211,0.6299,0.683,0.4351,0.5301,0.2257,0.5545,0.3784,0.2201,0.3525
33,0.0,1.0,0.6258,0.6313,0.6779,0.4359,0.5257,0.2282,0.5566,0.3778,0.2121,0.3534
34,0.0,1.0,0.6326,0.63,0.6746,0.44,0.5248,0.2319,0.555,0.3792,0.2155,0.3595
35,0.0,1.0,0.6341,0.6287,0.6792,0.4451,0.5227,0.2311,0.5581,0.3766,0.2146,0.3665
36,0.0,1.0,0.6365,0.6209,0.6801,0.4474,0.5287,0.2333,0.5568,0.3815,0.2154,0.3693
37,0.0,1.0,0.632,0.6202,0.6776,0.4488,0.5248,0.2333,0.5595,0.3817,0.2151,0.3718
38,0.0,1.0,0.636,0.6223,0.6792,0.4506,0.5276,0.2381,0.5664,0.3844,0.2202,0.3749
39,0.0,1.0,0.6419,0.6219,0.6818,0.4539,0.5295,0.2355,0.5629,0.3847,0.224,0.3752
