,0,1,2,3,4,5,6,7,8,9,10,11
0,{0.0: 1.0},{1.0: 1.0},"{0.6527272727272728: 0.2, 0.6509090909090909: 0.1, 0.6533575317604357: 0.2, 0.6557971014492754: 0.1, 0.654611211573237: 0.1, 0.6534296028880866: 0.1, 0.6522522522522523: 0.1, 0.6510791366906474: 0.1}","{0.6272727272727273: 0.1, 0.6272727272727272: 0.1, 0.6254545454545455: 0.1, 0.6225045372050817: 0.1, 0.6206896551724137: 0.1, 0.6177536231884057: 0.1, 0.6148282097649186: 0.1, 0.6173285198555957: 0.1, 0.6144144144144144: 0.1, 0.6133093525179856: 0.1}","{0.6472727272727272: 0.3, 0.6460980036297641: 0.2, 0.644927536231884: 0.1, 0.64376130198915: 0.1, 0.644404332129964: 0.1, 0.6414414414414414: 0.1, 0.6402877697841727: 0.1}","{0.3636363636363636: 0.3, 0.3611615245009074: 0.1, 0.3629764065335753: 0.1, 0.3623188405797101: 0.1, 0.3634719710669077: 0.1, 0.3646209386281588: 0.1, 0.3639639639639639: 0.1, 0.3651079136690647: 0.1}","{0.5218181818181818: 0.1, 0.5236363636363637: 0.1, 0.5254545454545455: 0.1, 0.5281306715063521: 0.2, 0.5271739130434783: 0.1, 0.5262206148282098: 0.1, 0.5252707581227437: 0.1, 0.5261261261261262: 0.1, 0.5251798561151079: 0.1}","{0.2309090909090909: 0.2, 0.2327272727272727: 0.1, 0.2304900181488203: 0.1, 0.2323049001814882: 0.1, 0.2300724637681159: 0.1, 0.2278481012658228: 0.1, 0.2256317689530686: 0.1, 0.227027027027027: 0.1, 0.2284172661870503: 0.1}","{0.5272727272727273: 0.2, 0.5290909090909092: 0.1, 0.5281306715063521: 0.1, 0.5245009074410163: 0.1, 0.5253623188405797: 0.1, 0.5226039783001809: 0.1, 0.5216606498194947: 0.1, 0.5225225225225225: 0.1, 0.5215827338129496: 0.1}","{0.2781818181818182: 0.2, 0.28: 0.1, 0.279491833030853: 0.1, 0.2776769509981851: 0.1, 0.2789855072463768: 0.1, 0.2802893309222423: 0.1, 0.2779783393501805: 0.1, 0.2792792792792793: 0.1, 0.2805755395683453: 0.1}","{0.209090909090909: 0.1, 0.2109090909090909: 0.1, 0.2090909090909091: 0.1, 0.2087114337568058: 0.2, 0.2083333333333333: 0.1, 0.2097649186256781: 0.1, 0.2093862815884477: 0.1, 0.209009009009009: 0.1, 0.2104316546762589: 0.1}","{0.2436363636363636: 0.2, 0.2454545454545454: 0.1, 0.2413793103448276: 0.1, 0.2431941923774954: 0.1, 0.2427536231884058: 0.1, 0.2423146473779385: 0.1, 0.2400722021660649: 0.1, 0.2414414414414414: 0.1, 0.2428057553956834: 0.1}"
1,[{0.0: 1.0}],[{1.0: 1.0}],"[{0.6499102333931777: 0.1, 0.6510791366906474: 0.1, 0.654054054054054: 0.1, 0.6570397111913358: 0.1, 0.6564195298372514: 0.1, 0.6600361663652803: 0.1, 0.6588447653429603: 0.1, 0.6594594594594594: 0.1, 0.6576576576576576: 0.1, 0.6546762589928057: 0.1}]","[{0.6122082585278277: 0.1, 0.6151079136690647: 0.1, 0.618018018018018: 0.1, 0.6227436823104693: 0.1, 0.620253164556962: 0.1, 0.6220614828209766: 0.1, 0.6209386281588448: 0.1, 0.6198198198198198: 0.1, 0.6234234234234235: 0.1, 0.6223021582733813: 0.1}]","[{0.6391382405745063: 0.1, 0.6384892086330936: 0.2, 0.6432432432432432: 0.2, 0.644404332129964: 0.1, 0.6437613019891502: 0.1, 0.6419529837251357: 0.1, 0.6425992779783394: 0.1, 0.6414414414414414: 0.1}]","[{0.3644524236983842: 0.1, 0.3651079136690647: 0.1, 0.3639639639639639: 0.1, 0.3646209386281588: 0.1, 0.3652802893309222: 0.1, 0.3670886075949367: 0.1, 0.3682310469314079: 0.1, 0.3693693693693693: 0.2, 0.3705035971223021: 0.1}]","[{0.526032315978456: 0.1, 0.5269784172661871: 0.1, 0.5297297297297298: 0.2, 0.5342960288808665: 0.1, 0.5370705244122966: 0.1, 0.5352622061482821: 0.1, 0.5324909747292419: 0.1, 0.5315315315315315: 0.1, 0.5287769784172661: 0.1}]","[{0.2280071813285457: 0.1, 0.2266187050359712: 0.2, 0.2252252252252252: 0.2, 0.2274368231046931: 0.1, 0.2296564195298372: 0.2, 0.2292418772563177: 0.1, 0.227027027027027: 0.1}]","[{0.5242369838420107: 0.1, 0.526978417266187: 0.1, 0.5261261261261261: 0.1, 0.5288808664259929: 0.1, 0.5334538878842677: 0.2, 0.5342960288808665: 0.1, 0.536936936936937: 0.2, 0.5359712230215827: 0.1}]","[{0.2782764811490125: 0.1, 0.276978417266187: 0.1, 0.2756756756756757: 0.2, 0.276173285198556: 0.1, 0.2748643761301989: 0.1, 0.2766726943942134: 0.1, 0.2743682310469314: 0.1, 0.2774774774774775: 0.1, 0.2787769784172662: 0.1}]","[{0.2100538599640933: 0.1, 0.210431654676259: 0.1, 0.2108108108108108: 0.3, 0.2111913357400722: 0.2, 0.2097649186256781: 0.2, 0.2086330935251798: 0.1}]","[{0.2441651705565529: 0.1, 0.2464028776978417: 0.1, 0.2486486486486486: 0.3, 0.2472924187725632: 0.2, 0.2495479204339964: 0.1, 0.2477396021699819: 0.1, 0.2482014388489208: 0.1}]"
2,[{0.0: 1.0}],[{1.0: 1.0}],"[{0.654054054054054: 0.1, 0.6510791366906474: 0.2, 0.6499102333931777: 0.1, 0.6499102333931778: 0.1, 0.651705565529623: 0.1, 0.6528776978417267: 0.1, 0.6535008976660682: 0.1, 0.6523297491039426: 0.1, 0.6505376344086021: 0.1}]","[{0.6252252252252253: 0.1, 0.6223021582733813: 0.1, 0.6241007194244604: 0.1, 0.622980251346499: 0.1, 0.6265709156193896: 0.2, 0.6283662477558348: 0.1, 0.6294964028776978: 0.1, 0.6272401433691756: 0.1, 0.6272401433691757: 0.1}]","[{0.6396396396396395: 0.1, 0.6384892086330936: 0.1, 0.6420863309352518: 0.1, 0.6427289048473968: 0.1, 0.6391382405745063: 0.1, 0.6409335727109515: 0.1, 0.64568345323741: 0.1, 0.644524236983842: 0.1, 0.6433691756272402: 0.1, 0.6469534050179211: 0.1}]","[{0.3711711711711711: 0.1, 0.368705035971223: 0.1, 0.3705035971223021: 0.1, 0.3698384201077199: 0.2, 0.3680430879712746: 0.2, 0.3669064748201439: 0.1, 0.3655913978494624: 0.1, 0.3673835125448029: 0.1}]","[{0.5279279279279279: 0.1, 0.5287769784172662: 0.1, 0.5287769784172661: 0.1, 0.5278276481149013: 0.1, 0.5296229802513466: 0.1, 0.5278276481149012: 0.1, 0.5305755395683454: 0.1, 0.533213644524237: 0.1, 0.532258064516129: 0.1, 0.5304659498207887: 0.1}]","[{0.2252252252252252: 0.1, 0.224820143884892: 0.1, 0.2230215827338129: 0.1, 0.2244165170556553: 0.2, 0.2262118491921005: 0.1, 0.2284172661870503: 0.1, 0.229802513464991: 0.1, 0.2275985663082437: 0.2}]","[{0.5333333333333332: 0.1, 0.5305755395683454: 0.1, 0.5323741007194245: 0.1, 0.533213644524237: 0.1, 0.5368043087971275: 0.2, 0.5385996409335727: 0.1, 0.539568345323741: 0.1, 0.5394265232974911: 0.2}]","[{0.2792792792792792: 0.1, 0.2805755395683453: 0.2, 0.2800718132854578: 0.1, 0.281867145421903: 0.1, 0.2836624775583483: 0.1, 0.2859712230215827: 0.1, 0.2872531418312388: 0.1, 0.2885304659498208: 0.1, 0.2867383512544803: 0.1}]","[{0.2108108108108108: 0.1, 0.2122302158273381: 0.1, 0.2140287769784172: 0.1, 0.2154398563734291: 0.1, 0.215439856373429: 0.2, 0.2172351885098743: 0.1, 0.2176258992805755: 0.1, 0.2150537634408602: 0.1, 0.2168458781362007: 0.1}]","[{0.2486486486486486: 0.1, 0.25: 0.3, 0.251346499102334: 0.1, 0.2513464991023339: 0.2, 0.2495511669658887: 0.1, 0.2473118279569892: 0.1, 0.2455197132616487: 0.1}]"
3,[{0.0: 1.0}],[{1.0: 1.0}],"[{0.6457960644007156: 0.2, 0.6428571428571429: 0.1, 0.641711229946524: 0.1, 0.6399286987522281: 0.3, 0.6446428571428571: 0.1, 0.6405693950177935: 0.1, 0.6387900355871886: 0.1}]","[{0.629695885509839: 0.1, 0.6332737030411449: 0.1, 0.6303571428571428: 0.1, 0.6327985739750446: 0.2, 0.6357142857142857: 0.1, 0.6345811051693404: 0.2, 0.6316725978647687: 0.1, 0.6298932384341637: 0.1}]","[{0.6493738819320214: 0.1, 0.6511627906976745: 0.1, 0.6464285714285714: 0.1, 0.6470588235294117: 0.1, 0.64349376114082: 0.1, 0.6446428571428571: 0.1, 0.6452762923351159: 0.2, 0.6441281138790036: 0.2}]","[{0.3667262969588551: 0.2, 0.3678571428571429: 0.1, 0.3654188948306595: 0.2, 0.3672014260249554: 0.2, 0.3660714285714285: 0.1, 0.3665480427046263: 0.2}]","[{0.5313059033989267: 0.2, 0.5303571428571429: 0.1, 0.5294117647058824: 0.1, 0.5311942959001783: 0.1, 0.5357142857142857: 0.1, 0.5365418894830659: 0.1, 0.5391459074733096: 0.1, 0.5418894830659536: 0.1, 0.5409252669039145: 0.1}]","[{0.2271914132379248: 0.2, 0.2249999999999999: 0.1, 0.2263814616755793: 0.2, 0.225: 0.1, 0.2228163992869875: 0.1, 0.2224199288256227: 0.1, 0.2245989304812834: 0.1, 0.2259786476868327: 0.1}]","[{0.5384615384615384: 0.2, 0.5410714285714286: 0.1, 0.5436720142602496: 0.2, 0.5418894830659535: 0.1, 0.5446428571428572: 0.1, 0.5436720142602495: 0.1, 0.5409252669039145: 0.1, 0.5409252669039146: 0.1}]","[{0.2880143112701252: 0.2, 0.2892857142857143: 0.1, 0.2905525846702317: 0.1, 0.2923351158645276: 0.1, 0.2928571428571428: 0.1, 0.2941176470588235: 0.1, 0.293594306049822: 0.1, 0.2959001782531194: 0.1, 0.297153024911032: 0.1}]","[{0.2164579606440071: 0.1, 0.2182468694096601: 0.1, 0.2160714285714285: 0.1, 0.213903743315508: 0.1, 0.2121212121212121: 0.1, 0.2125: 0.1, 0.2103386809269161: 0.1, 0.2081850533807829: 0.2, 0.2085561497326203: 0.1}]","[{0.2468694096601073: 0.2, 0.2482142857142857: 0.1, 0.249554367201426: 0.4, 0.2517857142857143: 0.1, 0.2473309608540925: 0.1, 0.2508896797153024: 0.1}]"
4,[{0.0: 1.0}],[{1.0: 1.0}],"[{0.6405693950177935: 0.1, 0.6381461675579323: 0.2, 0.6370106761565836: 0.2, 0.6405693950177936: 0.3, 0.6417112299465241: 0.1, 0.6434937611408199: 0.1}]","[{0.6316725978647687: 0.3, 0.6310160427807486: 0.1, 0.6363636363636365: 0.1, 0.6352313167259787: 0.2, 0.6370106761565837: 0.1, 0.6381461675579323: 0.1, 0.6345811051693404: 0.1}]","[{0.6405693950177935: 0.1, 0.6452762923351159: 0.1, 0.6441281138790036: 0.4, 0.6470588235294117: 0.1, 0.6476868327402135: 0.1, 0.6488413547237076: 0.1, 0.6524064171122995: 0.1}]","[{0.3683274021352313: 0.1, 0.3689839572192513: 0.1, 0.3701067615658363: 0.2, 0.3707664884135472: 0.1, 0.3718861209964413: 0.3, 0.374331550802139: 0.1, 0.3761140819964349: 0.1}]","[{0.5373665480427046: 0.1, 0.5401069518716577: 0.1, 0.5391459074733096: 0.1, 0.5355871886120996: 0.2, 0.536541889483066: 0.1, 0.5320284697508897: 0.2, 0.53475935828877: 0.1, 0.5311942959001782: 0.1}]","[{0.2277580071174377: 0.3, 0.2281639928698752: 0.1, 0.2277580071174376: 0.1, 0.2299465240641711: 0.2, 0.2295373665480427: 0.2, 0.231729055258467: 0.1}]","[{0.5391459074733096: 0.2, 0.5401069518716577: 0.1, 0.5409252669039145: 0.1, 0.5401069518716578: 0.1, 0.5409252669039146: 0.1, 0.5427046263345197: 0.1, 0.5444839857651246: 0.1, 0.5472370766488414: 0.1, 0.5454545454545454: 0.1}]","[{0.298932384341637: 0.3, 0.2976827094474153: 0.1, 0.3012477718360071: 0.1, 0.302491103202847: 0.1, 0.304270462633452: 0.1, 0.3060498220640569: 0.1, 0.3083778966131907: 0.1, 0.3101604278074866: 0.1}]","[{0.2064056939501779: 0.2, 0.2085561497326203: 0.1, 0.2099644128113878: 0.1, 0.2099644128113879: 0.2, 0.2103386809269162: 0.1, 0.2081850533807829: 0.1, 0.2049910873440285: 0.2}]","[{0.2526690391459074: 0.2, 0.2549019607843137: 0.1, 0.2544483985765124: 0.1, 0.2566844919786096: 0.1, 0.2562277580071174: 0.2, 0.2580071174377224: 0.1, 0.2584670231729055: 0.1, 0.2602495543672014: 0.1}]"
5,[{0.0: 1.0}],[{1.0: 1.0}],"[{0.6423487544483986: 0.1, 0.6387900355871886: 0.1, 0.6376554174067496: 0.1, 0.6382978723404256: 0.1, 0.6394316163410303: 0.2, 0.6400709219858156: 0.1, 0.6418439716312057: 0.2, 0.6412078152753109: 0.1}]","[{0.6334519572953736: 0.1, 0.6370106761565837: 0.1, 0.6341030195381884: 0.2, 0.6347517730496454: 0.2, 0.6329787234042553: 0.1, 0.6312056737588652: 0.1, 0.6323268206039077: 0.1, 0.6358792184724689: 0.1}]","[{0.6512455516014235: 0.1, 0.6548042704626335: 0.1, 0.655417406749556: 0.1, 0.6560283687943262: 0.2, 0.6571936056838366: 0.1, 0.6595744680851063: 0.1, 0.6578014184397163: 0.1, 0.6625222024866785: 0.1, 0.6589698046181172: 0.1}]","[{0.3736654804270463: 0.1, 0.3754448398576512: 0.1, 0.3747779751332149: 0.1, 0.375886524822695: 0.1, 0.3765541740674956: 0.1, 0.3776595744680851: 0.2, 0.3783303730017762: 0.2, 0.3794326241134751: 0.1}]","[{0.5284697508896797: 0.2, 0.5257548845470692: 0.1, 0.524822695035461: 0.1, 0.5275310834813499: 0.1, 0.5265957446808511: 0.2, 0.5257548845470693: 0.1, 0.522202486678508: 0.1, 0.5230496453900708: 0.1}]","[{0.2313167259786477: 0.1, 0.2313167259786476: 0.1, 0.2291296625222025: 0.2, 0.2287234042553191: 0.1, 0.226950354609929: 0.1, 0.2269503546099291: 0.1, 0.2273534635879218: 0.1, 0.2255772646536412: 0.1, 0.225177304964539: 0.1}]","[{0.5444839857651246: 0.1, 0.5427046263345195: 0.1, 0.5399644760213144: 0.1, 0.5407801418439716: 0.1, 0.5399644760213145: 0.1, 0.5390070921985816: 0.1, 0.5407801418439717: 0.1, 0.5435168738898757: 0.2, 0.5425531914893617: 0.1}]","[{0.3096085409252669: 0.2, 0.3108348134991119: 0.2, 0.3085106382978723: 0.1, 0.3120567375886525: 0.1, 0.3102836879432624: 0.1, 0.3126110124333925: 0.2, 0.3138297872340425: 0.1}]","[{0.2028469750889679: 0.1, 0.2046263345195729: 0.1, 0.2060390763765542: 0.1, 0.2056737588652482: 0.1, 0.2078152753108348: 0.1, 0.2092198581560283: 0.1, 0.2092198581560284: 0.1, 0.2113676731793961: 0.1, 0.2095914742451154: 0.1, 0.2109929078014184: 0.1}]","[{0.2597864768683274: 0.1, 0.2615658362989324: 0.1, 0.261101243339254: 0.2, 0.2624113475177305: 0.2, 0.2606382978723404: 0.1, 0.2646536412078152: 0.2, 0.2659574468085106: 0.1}]"
6,[{0.0: 1.0}],[{1.0: 1.0}],"[{0.6407079646017699: 0.1, 0.6431095406360424: 0.2, 0.6419753086419753: 0.1, 0.6431095406360423: 0.1, 0.6402116402116402: 0.1, 0.6442477876106194: 0.1, 0.6471631205673759: 0.1, 0.6442477876106195: 0.1, 0.6424778761061947: 0.1}]","[{0.6336283185840708: 0.1, 0.6325088339222615: 0.1, 0.6313932980599647: 0.1, 0.6325088339222614: 0.1, 0.6313932980599646: 0.1, 0.6307420494699646: 0.1, 0.631858407079646: 0.2, 0.6312056737588652: 0.1, 0.6283185840707964: 0.1}]","[{0.656637168141593: 0.1, 0.6590106007067138: 0.1, 0.6596119929453262: 0.2, 0.6643109540636042: 0.1, 0.6607773851590106: 0.1, 0.6619469026548672: 0.2, 0.6666666666666666: 0.1, 0.6637168141592921: 0.1}]","[{0.3787610619469027: 0.3, 0.3763250883392226: 0.1, 0.3774250440917107: 0.2, 0.3798586572438162: 0.1, 0.3780918727915194: 0.1, 0.3794326241134751: 0.1, 0.3769911504424779: 0.1}]","[{0.5256637168141594: 0.1, 0.5247349823321554: 0.1, 0.527336860670194: 0.1, 0.5318021201413428: 0.1, 0.5326278659611993: 0.1, 0.5335689045936396: 0.1, 0.5327433628318584: 0.2, 0.5336879432624113: 0.1, 0.5345132743362833: 0.1}]","[{0.2230088495575221: 0.1, 0.2243816254416961: 0.1, 0.2239858906525573: 0.1, 0.2261484098939929: 0.1, 0.2275132275132275: 0.1, 0.2296819787985866: 0.1, 0.2283185840707964: 0.3, 0.2287234042553191: 0.1}]","[{0.5433628318584072: 0.1, 0.5459363957597173: 0.1, 0.5432098765432098: 0.1, 0.5459363957597172: 0.1, 0.5414462081128748: 0.1, 0.5424028268551238: 0.1, 0.5469026548672566: 0.2, 0.5478723404255319: 0.1, 0.5486725663716814: 0.1}]","[{0.3132743362831858: 0.1, 0.3127208480565371: 0.1, 0.3139329805996472: 0.2, 0.3162544169611307: 0.1, 0.3144876325088339: 0.1, 0.3150442477876106: 0.1, 0.3173758865248227: 0.1, 0.3185840707964602: 0.2}]","[{0.2106194690265487: 0.1, 0.2120141342756183: 0.2, 0.2134038800705467: 0.2, 0.2120141342756184: 0.1, 0.2141592920353982: 0.1, 0.2163120567375886: 0.1, 0.215929203539823: 0.1, 0.2176991150442477: 0.1}]","[{0.2654867256637168: 0.1, 0.2667844522968198: 0.2, 0.2680776014109347: 0.2, 0.2685512367491166: 0.1, 0.2690265486725663: 0.1, 0.2712765957446808: 0.1, 0.2707964601769911: 0.2}]"
7,[{0.0: 1.0}],[{1.0: 1.0}],"[{0.6460176991150443: 0.3, 0.6448763250883391: 0.2, 0.6484098939929328: 0.2, 0.6530973451327433: 0.1, 0.6501766784452296: 0.1, 0.6490299823633157: 0.1}]","[{0.6336283185840709: 0.1, 0.631858407079646: 0.1, 0.6342756183745583: 0.1, 0.6389380530973451: 0.1, 0.6360424028268551: 0.2, 0.6389380530973452: 0.1, 0.6413427561837456: 0.1, 0.6431095406360424: 0.1, 0.6437389770723104: 0.1}]","[{0.6619469026548672: 0.1, 0.6637168141592921: 0.2, 0.6643109540636043: 0.3, 0.663716814159292: 0.1, 0.6625441696113075: 0.1, 0.666077738515901: 0.1, 0.6666666666666666: 0.1}]","[{0.3805309734513274: 0.1, 0.3823008849557522: 0.1, 0.3833922261484099: 0.3, 0.384070796460177: 0.1, 0.3858407079646018: 0.1, 0.3851590106007067: 0.1, 0.3869257950530035: 0.1, 0.3880070546737213: 0.1}]","[{0.5327433628318584: 0.1, 0.5309734513274336: 0.1, 0.5318021201413428: 0.1, 0.5345132743362833: 0.1, 0.5353356890459364: 0.3, 0.536283185840708: 0.1, 0.5353356890459363: 0.1, 0.5361552028218695: 0.1}]","[{0.2300884955752212: 0.1, 0.231858407079646: 0.3, 0.2314487632508834: 0.1, 0.2332155477031802: 0.2, 0.2296819787985865: 0.2, 0.2275132275132275: 0.1}]","[{0.5469026548672566: 0.3, 0.5486725663716814: 0.1, 0.5477031802120141: 0.2, 0.5459363957597173: 0.1, 0.5441696113074205: 0.1, 0.5424028268551235: 0.1, 0.5414462081128748: 0.1}]","[{0.3168141592920354: 0.2, 0.3180212014134275: 0.1, 0.3203539823008849: 0.2, 0.3215547703180212: 0.2, 0.3197879858657244: 0.1, 0.3215547703180211: 0.1, 0.3227513227513227: 0.1}]","[{0.2176991150442477: 0.1, 0.215929203539823: 0.2, 0.215547703180212: 0.1, 0.2137809187279151: 0.2, 0.2137809187279152: 0.2, 0.2141592920353982: 0.1, 0.2134038800705467: 0.1}]","[{0.2725663716814159: 0.3, 0.273851590106007: 0.3, 0.2743362831858407: 0.1, 0.2720848056537102: 0.2, 0.2751322751322751: 0.1}]"
8,[{0.0: 1.0}],[{1.0: 1.0}],"[{0.6519434628975265: 0.1, 0.6530973451327433: 0.1, 0.6578014184397163: 0.2, 0.6584070796460177: 0.1, 0.6554770318021201: 0.1, 0.6525573192239859: 0.1, 0.6514084507042254: 0.1, 0.653169014084507: 0.1, 0.6566901408450705: 0.1}]","[{0.6431095406360424: 0.2, 0.6460176991150443: 0.1, 0.6471631205673759: 0.1, 0.6471631205673758: 0.1, 0.647787610619469: 0.1, 0.6419753086419753: 0.1, 0.6426056338028169: 0.1, 0.6461267605633803: 0.1, 0.6496478873239436: 0.1}]","[{0.6713780918727915: 0.1, 0.6707964601769911: 0.1, 0.6702127659574468: 0.1, 0.6719858156028369: 0.1, 0.6743362831858406: 0.1, 0.6749116607773851: 0.1, 0.6719576719576719: 0.1, 0.670774647887324: 0.1, 0.6725352112676056: 0.2}]","[{0.3904593639575971: 0.1, 0.3929203539823009: 0.1, 0.3953900709219858: 0.1, 0.3971631205673759: 0.1, 0.3946902654867256: 0.1, 0.3957597173144876: 0.1, 0.3968253968253968: 0.1, 0.397887323943662: 0.1, 0.3996478873239437: 0.1, 0.4014084507042254: 0.1}]","[{0.5371024734982333: 0.1, 0.536283185840708: 0.1, 0.5336879432624113: 0.2, 0.5309734513274336: 0.1, 0.5318021201413428: 0.1, 0.5291005291005291: 0.1, 0.5299295774647887: 0.1, 0.5316901408450705: 0.2}]","[{0.2261484098939929: 0.1, 0.2283185840707964: 0.1, 0.2287234042553191: 0.2, 0.2300884955752212: 0.1, 0.2279151943462897: 0.1, 0.2275132275132275: 0.1, 0.2288732394366197: 0.2, 0.2306338028169014: 0.1}]","[{0.5441696113074205: 0.1, 0.5433628318584072: 0.1, 0.5425531914893617: 0.1, 0.5425531914893618: 0.1, 0.5433628318584071: 0.1, 0.5424028268551236: 0.1, 0.5396825396825397: 0.1, 0.5404929577464789: 0.1, 0.5422535211267605: 0.1, 0.545774647887324: 0.1}]","[{0.3250883392226149: 0.1, 0.3274336283185841: 0.1, 0.328014184397163: 0.1, 0.3262411347517731: 0.1, 0.3238938053097345: 0.1, 0.3215547703180212: 0.1, 0.3192239858906525: 0.1, 0.3204225352112676: 0.1, 0.3221830985915493: 0.1, 0.323943661971831: 0.1}]","[{0.215547703180212: 0.2, 0.215929203539823: 0.1, 0.2180851063829787: 0.1, 0.2163120567375887: 0.1, 0.2176991150442478: 0.1, 0.2169312169312169: 0.1, 0.2165492957746478: 0.1, 0.2183098591549295: 0.1, 0.2183098591549296: 0.1}]","[{0.2756183745583039: 0.1, 0.2778761061946903: 0.1, 0.276595744680851: 0.1, 0.2783687943262412: 0.1, 0.2778761061946902: 0.1, 0.2791519434628975: 0.1, 0.2786596119929453: 0.1, 0.2799295774647887: 0.1, 0.2816901408450704: 0.1, 0.2834507042253521: 0.1}]"
9,[{0.0: 1.0}],[{1.0: 1.0}],"[{0.657293497363796: 0.1, 0.6602112676056338: 0.1, 0.6584507042253521: 0.1, 0.6608084358523726: 0.1, 0.6614035087719299: 0.1, 0.6625659050966608: 0.1, 0.6637323943661972: 0.1, 0.6619718309859155: 0.1, 0.664323374340949: 0.1, 0.6672535211267606: 0.1}]","[{0.648506151142355: 0.1, 0.6531690140845071: 0.1, 0.6566901408450705: 0.2, 0.655536028119508: 0.2, 0.6526315789473685: 0.1, 0.6520210896309314: 0.1, 0.653169014084507: 0.1, 0.6549295774647887: 0.1}]","[{0.6731107205623901: 0.1, 0.6742957746478873: 0.1, 0.676056338028169: 0.1, 0.6766256590509666: 0.2, 0.6754385964912281: 0.1, 0.6778169014084507: 0.1, 0.681338028169014: 0.1, 0.6783831282952548: 0.1, 0.6830985915492958: 0.1}]","[{0.4024604569420035: 0.1, 0.4049295774647887: 0.2, 0.40597539543058: 0.1, 0.4070175438596491: 0.1, 0.4094903339191564: 0.2, 0.4084507042253521: 0.2, 0.4119718309859155: 0.1}]","[{0.5342706502636203: 0.1, 0.5352112676056339: 0.1, 0.5352112676056338: 0.1, 0.5325131810193322: 0.1, 0.5333333333333333: 0.1, 0.5342706502636204: 0.1, 0.5387323943661972: 0.1, 0.5404929577464789: 0.1, 0.5413005272407733: 0.1, 0.5440140845070423: 0.1}]","[{0.2302284710017574: 0.2, 0.232394366197183: 0.1, 0.2306338028169014: 0.3, 0.2319859402460456: 0.1, 0.231578947368421: 0.1, 0.2323943661971831: 0.1, 0.2284710017574692: 0.1}]","[{0.5448154657293497: 0.1, 0.5440140845070423: 0.1, 0.5422535211267606: 0.1, 0.5413005272407733: 0.1, 0.5421052631578948: 0.1, 0.5465729349736379: 0.1, 0.551056338028169: 0.3, 0.5500878734622143: 0.1}]","[{0.3251318101933216: 0.1, 0.323943661971831: 0.1, 0.3257042253521127: 0.1, 0.3268892794376098: 0.2, 0.3245614035087719: 0.1, 0.329225352112676: 0.2, 0.3304042179261863: 0.1, 0.3327464788732394: 0.1}]","[{0.2196836555360281: 0.1, 0.2200704225352112: 0.1, 0.221830985915493: 0.1, 0.2231985940246045: 0.1, 0.2228070175438596: 0.1, 0.2249560632688927: 0.1, 0.2235915492957746: 0.2, 0.2253521126760563: 0.1, 0.2249560632688928: 0.1}]","[{0.281195079086116: 0.3, 0.2834507042253521: 0.2, 0.2816901408450704: 0.1, 0.2824561403508772: 0.1, 0.2852112676056338: 0.1, 0.2864674868189806: 0.1, 0.2887323943661972: 0.1}]"
