,1,2,3,4,5,6,7,8,9,10,11
0,552.2,360.6,342.4,356.1,200.7,290.3,126.8,289.9,154.1,115.6,134.0
1,554.8,363.9,343.8,356.0,203.5,294.7,126.2,295.0,153.4,116.7,137.4
2,556.7,362.8,348.5,357.6,205.2,294.9,125.9,298.4,157.8,119.7,138.9
3,560.6,359.9,354.6,362.2,205.5,299.8,126.3,303.7,163.8,119.1,139.6
4,561.6,359.3,356.2,362.7,208.6,300.7,128.6,304.4,170.0,116.8,143.8
5,563.2,360.5,357.1,370.0,212.2,296.2,128.5,305.1,175.2,117.0,147.8
6,565.6,363.7,357.2,374.1,213.9,300.3,128.3,308.4,178.4,120.9,151.9
7,565.7,366.4,360.8,375.7,217.4,302.3,130.7,308.8,181.0,121.5,154.6
8,566.1,370.7,365.4,380.5,224.3,301.5,129.4,307.2,183.3,122.8,157.9
9,568.6,376.3,371.8,385.1,231.6,305.3,131.3,310.7,186.2,126.8,161.2
10,571.2,378.3,376.2,389.1,234.7,310.7,132.2,310.6,191.9,125.1,165.2
11,571.7,380.4,377.9,393.5,236.9,316.0,134.7,313.5,196.6,125.9,169.4
12,574.4,382.7,382.7,400.9,237.5,318.1,141.7,319.7,200.4,129.0,173.8
13,576.4,387.9,384.4,409.2,240.4,320.9,144.3,325.5,204.2,129.1,177.3
14,582.2,384.5,383.7,414.0,244.4,318.9,147.8,327.4,202.0,129.0,177.8
15,589.2,384.1,387.1,418.3,246.5,320.6,149.7,328.8,205.7,130.2,176.1
16,590.4,379.2,389.2,421.2,246.7,321.2,152.3,330.5,212.3,129.8,180.1
17,593.8,382.2,392.0,425.2,249.2,329.7,147.8,339.1,215.3,131.3,183.2
18,598.2,386.4,394.8,429.2,248.3,335.6,142.5,342.9,217.8,130.5,183.1
19,604.7,382.5,393.4,433.0,248.3,339.8,139.4,348.6,217.3,130.1,182.6
20,612.2,384.9,392.7,437.9,252.7,340.6,139.9,351.8,217.6,128.3,184.6
21,617.8,389.6,391.9,437.2,257.6,342.0,141.6,352.6,221.3,127.9,186.8
22,622.9,391.8,391.8,438.0,260.6,339.5,140.1,353.8,221.4,130.7,190.4
23,625.3,392.0,393.2,440.7,261.9,335.8,138.5,356.4,221.5,130.7,193.3
24,629.3,394.4,396.3,441.3,265.2,337.9,138.4,362.4,222.7,131.5,198.5
25,633.1,393.0,399.7,443.0,264.3,339.7,141.0,364.7,223.2,132.5,203.6
26,635.8,395.8,404.1,448.2,264.8,337.7,144.3,365.5,228.5,133.6,205.8
27,640.0,395.5,400.8,445.1,266.4,340.8,145.0,365.3,233.9,133.4,210.2
28,642.5,395.3,402.3,444.8,274.0,346.1,145.0,363.3,232.3,139.2,211.8
29,645.0,396.9,408.8,448.4,277.8,349.0,147.5,361.3,234.7,141.4,216.3
30,648.2,401.4,413.1,452.1,282.6,349.1,146.5,359.9,241.0,142.0,223.4
31,648.6,403.6,412.7,451.3,282.4,350.2,147.8,359.3,245.6,144.6,226.3
32,656.1,407.5,413.3,448.1,285.5,347.8,148.1,363.8,248.3,144.4,231.3
33,660.4,413.3,416.9,447.7,287.9,347.2,150.7,367.6,249.5,140.1,233.4
34,661.4,418.4,416.7,446.2,291.0,347.1,153.4,367.1,250.8,142.5,237.8
35,663.9,421.0,417.4,450.9,295.5,347.0,153.4,370.5,250.0,142.5,243.3
36,667.7,425.0,414.6,454.1,298.7,353.0,155.8,371.8,254.7,143.8,246.6
37,672.2,424.8,416.9,455.5,301.7,352.8,156.8,376.1,256.6,144.6,249.9
38,669.8,426.0,416.8,454.9,301.8,353.4,159.5,379.4,257.5,147.5,251.1
39,672.9,431.9,418.5,458.8,305.4,356.3,158.5,378.8,258.9,150.7,252.5
40,678.5,430.9,420.9,464.1,311.4,354.5,158.3,379.4,263.0,149.9,255.7
41,684.0,433.6,422.2,466.4,316.0,352.2,159.3,376.1,260.8,147.5,260.0
42,688.9,428.9,424.5,465.4,321.0,358.1,163.1,374.3,263.0,148.0,258.6
43,692.7,430.0,426.2,468.1,323.7,363.0,166.8,378.1,264.0,148.8,262.8
44,696.9,431.2,427.2,468.9,327.7,364.0,167.8,383.9,269.3,149.5,263.7
45,698.1,435.4,430.6,471.0,334.7,364.7,171.9,384.6,272.8,149.3,266.7
46,699.7,438.3,434.8,471.4,335.1,365.1,176.3,384.9,278.3,149.1,270.9
47,700.6,439.1,436.8,475.4,337.3,367.4,181.5,383.7,282.2,148.9,276.4
48,703.6,439.5,439.1,480.4,342.7,370.2,183.8,385.6,286.3,148.4,277.5
49,703.0,442.3,441.9,486.0,344.2,373.3,183.4,386.8,291.0,146.3,282.4
50,703.9,447.2,440.8,491.2,347.8,373.0,184.5,388.3,295.8,145.6,289.4
51,709.7,445.5,441.9,497.8,351.4,373.6,186.0,391.7,297.1,146.1,291.7
52,711.3,446.5,445.5,503.0,352.4,378.6,188.1,393.5,298.7,145.2,294.1
53,709.9,445.5,447.4,507.5,355.4,384.4,190.9,393.7,300.3,144.8,297.4
54,710.6,452.0,449.0,509.4,358.8,382.5,190.8,396.5,305.7,146.3,300.4
55,716.3,450.4,451.3,511.1,361.6,384.4,190.8,398.6,309.7,150.9,305.6
56,719.0,455.1,454.9,511.5,366.2,384.8,195.4,400.7,312.9,152.2,312.4
57,724.3,460.4,457.3,514.9,370.8,386.3,196.1,404.3,313.7,152.3,314.6
58,730.4,456.2,460.1,512.1,374.8,389.0,195.8,403.7,315.2,152.2,316.0
59,735.9,457.1,458.2,513.9,378.9,394.0,196.6,406.9,318.0,152.9,314.0
60,738.4,457.5,460.6,515.8,383.3,392.5,196.5,404.5,324.4,152.4,318.7
61,741.8,460.9,459.5,516.8,384.6,397.1,197.5,400.7,328.2,154.3,323.4
62,746.4,466.3,462.6,522.4,390.2,395.1,196.4,397.7,330.6,154.9,329.5
63,751.2,463.3,465.3,526.9,394.3,396.5,195.3,402.6,333.4,153.6,335.6
64,758.5,464.9,461.8,528.5,398.3,404.0,198.1,408.2,338.1,153.7,341.2
65,760.5,462.2,459.0,529.2,400.9,403.8,200.0,418.7,342.8,156.5,344.7
66,761.1,462.6,458.5,535.8,403.2,408.7,202.3,418.1,347.4,157.1,343.8
67,764.3,460.2,460.3,543.8,406.3,410.8,204.6,420.9,352.5,154.8,348.1
68,768.1,459.0,463.5,548.9,407.1,409.1,206.3,423.8,356.5,157.3,352.7
69,767.7,459.9,471.4,550.0,406.7,410.0,207.9,423.9,360.7,157.7,352.9
70,773.9,459.9,475.0,555.5,408.8,408.8,209.1,424.4,362.0,161.9,356.4
71,778.7,464.5,478.5,560.7,410.7,405.1,210.1,425.4,365.7,165.9,359.0
72,781.7,467.6,482.5,563.5,412.7,404.1,212.3,427.0,370.7,169.2,365.6
73,784.5,463.6,485.8,569.0,414.6,406.1,214.1,433.2,376.6,171.5,368.8
74,786.0,457.0,490.0,575.2,415.7,406.4,216.3,437.6,376.5,175.8,370.9
75,787.6,456.3,492.8,579.7,417.8,409.2,218.7,442.2,382.0,180.3,372.9
76,788.5,457.6,495.4,580.8,419.0,416.8,220.7,441.6,389.4,185.5,374.9
77,790.7,458.0,501.5,579.5,423.3,417.9,223.0,443.4,395.0,189.5,379.1
78,793.1,457.7,507.2,582.9,426.1,420.6,220.1,444.8,398.0,192.8,383.1
79,794.9,459.9,509.3,584.3,430.5,418.6,222.2,446.5,397.7,195.4,382.7
80,796.3,462.9,507.4,584.3,436.8,421.2,225.8,444.1,395.0,196.9,383.1
81,799.0,465.1,513.3,580.4,438.6,421.7,228.1,443.6,396.9,197.7,385.2
82,801.4,468.1,519.3,585.4,443.3,422.0,228.2,446.5,398.4,198.3,389.9
83,801.5,468.5,519.2,589.0,448.2,421.6,228.8,451.3,401.7,201.2,395.7
84,803.4,471.9,520.3,592.7,452.8,423.7,230.6,451.6,403.6,204.5,395.4
85,808.7,471.4,523.3,594.6,457.0,424.2,231.4,454.6,410.8,205.8,397.3
86,809.3,472.7,520.4,603.7,458.8,426.5,232.9,460.5,415.3,209.2,399.8
87,813.8,476.7,519.9,609.8,459.4,430.3,236.6,462.7,417.6,209.2,407.9
88,820.0,482.0,524.1,612.2,463.3,430.5,237.2,465.7,417.7,210.1,410.2
89,821.3,477.1,528.0,616.8,462.4,430.8,240.7,468.1,424.0,210.3,410.7
90,822.5,478.1,536.3,619.3,463.4,427.9,242.3,470.4,428.4,211.1,414.8
91,825.2,480.0,536.6,624.0,462.5,430.0,245.9,471.7,434.9,213.9,417.4
92,826.1,481.6,536.0,630.6,465.7,436.3,243.6,473.2,440.2,215.4,420.3
93,826.5,485.8,538.4,636.4,469.0,441.8,242.5,475.0,443.0,217.2,426.5
94,831.4,489.6,538.3,637.7,472.6,446.4,242.3,477.3,448.9,217.3,433.7
95,832.3,491.2,543.9,638.8,478.3,449.0,242.8,480.0,453.4,219.1,436.3
96,836.2,492.1,541.3,641.1,483.9,453.3,242.7,482.1,455.1,218.8,438.0
97,836.2,490.7,542.0,644.8,484.9,458.7,244.5,485.7,457.6,218.9,443.6
98,834.9,494.5,547.1,647.5,487.6,461.1,248.4,484.7,460.4,220.8,447.5
99,840.3,499.7,550.9,646.9,489.8,465.3,251.2,483.9,461.5,221.1,449.2
100,847.2,503.3,554.2,652.1,491.8,467.5,250.7,480.1,464.4,223.0,452.2
101,851.1,504.9,555.7,654.5,493.0,471.3,250.0,477.2,467.9,225.7,452.3
102,857.1,504.9,558.8,654.0,493.9,469.0,253.4,480.8,468.5,228.7,455.5
103,857.2,508.8,559.2,658.6,492.8,471.3,254.3,486.9,471.2,230.7,458.6
104,863.1,508.0,560.2,663.3,494.1,469.1,253.6,490.0,471.7,232.5,462.8
105,868.8,512.5,564.6,663.1,500.1,466.9,254.6,490.1,474.1,234.3,464.9
106,872.8,514.1,566.1,665.7,503.9,467.3,258.6,493.4,470.4,233.5,467.0
107,874.6,513.4,563.4,668.2,505.7,470.8,258.2,502.4,471.6,229.9,471.3
108,878.4,510.9,567.6,666.2,507.3,473.2,259.8,507.0,476.6,229.0,476.0
109,881.3,512.3,568.3,667.7,508.9,479.2,259.2,507.2,478.9,229.2,476.1
110,882.8,512.4,570.4,672.5,510.5,482.4,260.7,508.2,479.0,232.0,476.9
111,888.0,512.5,572.9,674.5,511.5,481.6,260.2,512.6,478.5,233.4,479.8
112,894.8,515.6,578.2,675.9,517.6,482.1,258.9,516.7,482.7,233.0,483.6
113,899.1,520.4,583.7,680.2,520.7,485.2,260.1,523.6,488.3,233.2,486.9
114,902.1,524.3,586.0,681.5,518.1,485.9,261.3,525.7,490.3,233.9,490.0
115,907.2,526.2,584.5,681.1,521.3,491.9,261.5,529.3,491.7,236.3,490.4
116,913.5,530.5,583.2,679.1,523.8,492.6,261.5,532.1,494.3,238.1,492.0
117,916.3,532.4,584.8,686.0,527.3,497.3,265.9,531.4,497.1,240.0,490.5
118,917.3,531.7,582.6,690.6,528.2,501.9,269.6,538.6,499.3,238.5,496.0
119,920.6,531.9,585.7,690.6,528.8,508.2,273.0,543.0,504.6,239.3,501.7
120,921.3,537.0,586.3,695.1,531.4,511.2,275.2,543.1,508.5,236.5,507.6
121,922.7,536.9,585.0,696.5,533.3,514.0,279.3,545.2,511.2,236.2,511.4
122,924.8,542.1,583.7,695.7,537.8,515.5,284.1,549.9,514.7,232.9,513.8
123,928.0,538.1,583.9,693.6,540.5,518.0,285.2,551.8,519.3,231.0,515.5
124,929.0,531.2,586.4,694.2,545.4,520.5,287.9,554.8,520.3,231.1,517.7
125,929.9,535.5,589.7,696.8,548.7,524.2,288.9,560.3,524.3,230.0,521.0
126,929.4,537.8,592.7,698.5,548.2,531.5,290.1,563.2,531.0,230.1,525.9
127,927.4,543.1,591.8,704.8,547.3,536.9,288.5,565.4,533.0,233.3,528.8
128,926.7,545.3,592.9,711.6,547.2,539.4,288.7,565.2,534.7,236.3,529.8
129,928.2,545.4,592.9,719.6,545.5,540.8,289.8,567.4,533.3,242.4,529.9
130,926.4,545.7,595.3,726.5,545.9,546.4,290.4,569.8,533.3,242.4,530.0
131,927.6,545.5,596.5,730.6,548.5,547.6,288.4,568.2,532.3,246.4,529.8
132,928.5,550.5,600.6,732.4,547.6,551.2,290.3,565.5,531.2,248.9,529.4
133,928.9,553.5,604.2,738.4,548.1,550.7,289.6,564.8,529.0,251.6,528.2
134,930.1,552.7,607.6,743.0,551.1,557.0,289.5,567.5,530.6,255.2,528.5
135,931.8,550.5,610.8,745.8,553.6,557.7,288.3,567.8,529.0,256.7,527.2
136,932.6,550.4,614.8,753.2,554.6,557.9,286.9,570.4,526.3,257.8,528.9
137,932.5,550.0,622.2,758.2,553.2,566.4,287.7,577.9,524.4,258.9,529.0
138,933.0,548.8,626.2,760.7,553.5,569.5,291.1,579.9,524.6,258.7,525.9
139,931.7,553.4,625.6,763.5,554.0,573.7,292.5,579.9,523.4,260.6,526.3
140,931.1,554.8,625.6,764.9,555.9,579.3,294.1,579.7,520.8,260.9,528.7
141,930.1,552.8,631.1,766.0,558.0,578.5,298.9,576.6,519.8,262.8,531.8
142,929.8,552.8,636.3,769.2,557.1,582.2,297.7,577.6,520.5,263.5,533.5
143,929.1,556.1,636.7,768.2,557.1,578.4,299.6,580.4,521.7,262.8,532.9
144,923.9,562.2,638.6,770.9,558.1,578.9,301.0,586.4,520.7,264.4,533.4
145,918.6,568.7,638.8,772.1,559.9,581.0,305.8,586.4,517.9,269.0,532.0
146,916.8,568.9,642.1,777.5,560.2,586.7,308.0,579.9,515.2,273.0,531.8
147,917.4,565.4,645.2,778.9,557.7,589.3,309.1,577.6,514.7,274.9,532.6
148,916.0,566.4,649.2,783.3,555.9,589.4,311.1,582.8,517.1,274.4,532.5
149,915.2,566.2,654.0,787.5,556.1,590.3,311.4,583.8,515.4,274.9,532.1
150,916.0,562.2,654.1,790.3,557.1,588.7,312.0,583.1,514.9,274.2,533.4
151,918.2,559.3,655.2,794.2,557.4,588.4,314.6,584.0,511.7,272.2,534.1
152,918.6,559.3,656.4,799.3,558.4,592.5,315.1,587.4,509.7,272.3,533.7
153,920.8,560.2,657.3,802.2,558.7,594.7,311.6,591.8,507.6,273.9,533.5
154,924.1,560.1,659.8,807.6,559.8,594.9,311.0,596.8,508.6,274.3,534.3
155,919.9,558.4,661.1,810.7,556.2,595.7,312.0,599.9,508.9,277.8,533.9
156,919.4,560.9,661.6,813.0,554.5,602.1,314.6,596.1,508.3,276.6,533.9
157,918.4,563.9,664.5,814.8,555.2,605.5,315.8,593.2,505.2,273.8,534.5
158,918.1,566.6,670.2,816.5,553.2,606.4,314.6,590.0,505.5,274.4,534.8
159,919.3,566.9,671.5,820.3,550.3,609.8,313.5,590.8,506.0,274.7,536.2
160,921.1,568.7,672.0,818.0,547.8,618.6,312.7,590.1,504.7,277.0,534.8
161,921.6,571.0,678.5,816.2,550.3,625.2,313.1,589.9,505.1,279.3,532.3
162,918.4,571.5,678.8,815.4,551.5,623.2,315.9,590.0,502.8,280.7,534.2
163,916.4,576.1,681.7,817.0,551.7,627.2,316.8,592.4,504.3,282.1,534.8
164,915.1,580.1,686.8,825.0,548.1,629.9,315.9,595.6,503.1,281.1,532.6
165,913.7,583.4,688.8,826.6,546.0,628.9,317.6,600.7,502.4,282.0,529.8
166,913.2,584.9,690.8,827.3,547.8,628.1,316.2,602.9,501.9,284.5,531.1
167,914.8,588.3,696.3,826.7,548.6,626.3,315.5,599.1,501.6,286.3,532.1
168,916.2,591.5,699.1,827.4,546.5,626.5,320.4,600.4,501.7,286.2,535.6
169,915.0,590.5,702.4,830.3,543.8,628.8,323.2,602.6,500.1,289.6,533.5
170,919.5,593.4,706.5,835.3,543.6,631.1,323.1,603.2,499.6,287.7,531.3
171,919.9,599.5,709.8,837.8,539.8,636.3,324.9,604.9,503.6,292.6,529.9
172,917.4,606.4,711.7,837.9,535.6,644.4,324.8,608.3,502.1,294.8,529.5
173,916.1,609.8,713.6,843.7,534.6,651.3,323.3,608.5,500.8,298.7,529.3
