,train predictions,actual
0,[569.5039],[568.6]
1,[572.28986],[571.2]
2,[574.72925],[571.7]
3,[574.8365],[574.4]
4,[578.2587],[576.4]
5,[579.7886],[582.2]
6,[586.7072],[589.2]
7,[593.6404],[590.4]
8,[593.69446],[593.8]
9,[598.21686],[598.2]
10,[602.3224],[604.7]
11,[609.3672],[612.2]
12,[616.94086],[617.8]
13,[622.2022],[622.9]
14,[627.4445],[625.3]
15,[629.1234],[629.3]
16,[633.641],[633.1]
17,[636.973],[635.8]
18,[639.4273],[640.]
19,[643.97],[642.5]
20,[645.8332],[645.]
21,[648.51697],[648.2]
22,[651.72943],[648.6]
23,[651.3545],[656.1]
24,[660.8089],[660.4]
25,[663.59546],[661.4]
26,[664.51434],[663.9]
27,[667.4002],[667.7]
28,[671.22015],[672.2]
29,[675.8086],[669.8]
30,[671.6649],[672.9]
31,[676.6374],[678.5]
32,[681.96533],[684.]
33,[687.6144],[688.9]
34,[692.53827],[692.7]
35,[696.2238],[696.9]
36,[700.6071],[698.1]
37,[700.9223],[699.7]
38,[702.7728],[700.6]
39,[703.14954],[703.6]
40,[706.6514],[703.]
41,[704.84784],[703.9]
42,[706.4626],[709.7]
43,[713.1383],[711.3]
44,[713.4569],[709.9]
45,[711.89764],[710.6]
46,[713.065],[716.3]
47,[719.6906],[719.]
48,[721.36804],[724.3]
49,[727.90204],[730.4]
50,[733.9434],[735.9]
51,[739.5305],[738.4]
52,[741.3782],[741.8]
53,[745.184],[746.4]
54,[749.77704],[751.2]
55,[754.5389],[758.5]
56,[762.51953],[760.5]
57,[763.00726],[761.1]
58,[763.7265],[764.3]
59,[767.2643],[768.1]
60,[770.8707],[767.7]
61,[769.36755],[773.9]
62,[777.55927],[778.7]
63,[781.3259],[781.7]
64,[784.41205],[784.5]
65,[787.1893],[786.]
66,[788.27],[787.6]
67,[789.86755],[788.5]
68,[790.3862],[790.7]
69,[792.89166],[793.1]
70,[795.16016],[794.9]
71,[796.8622],[796.3]
72,[798.2012],[799.]
73,[801.2415],[801.4]
74,[803.454],[801.5]
75,[803.028],[803.4]
76,[805.4996],[808.7]
77,[811.45026],[809.3]
78,[810.7093],[813.8]
79,[816.77905],[820.]
80,[822.96844],[821.3]
81,[823.1653],[822.5]
82,[824.70996],[825.2]
83,[827.4794],[826.1]
84,[827.70685],[826.5]
85,[828.0493],[831.4]
86,[834.03534],[832.3]
87,[833.55023],[836.2]
88,[838.8059],[836.2]
89,[837.3289],[834.9]
90,[836.081],[840.3]
91,[843.0378],[847.2]
92,[849.91235],[851.1]
93,[853.4159],[857.1]
94,[860.4129],[857.2]
95,[858.6863],[863.1]
96,[866.63586],[868.8]
97,[871.5068],[872.8]
98,[875.42737],[874.6]
99,[876.6484],[878.4]
100,[881.01825],[881.3]
101,[883.3296],[882.8]
102,[884.53406],[888.]
103,[890.72314],[894.8]
104,[897.70966],[899.1]
105,[901.53143],[902.1]
106,[904.47003],[907.2]
107,[910.1059],[913.5]
108,[916.5411],[916.3]
109,[918.3929],[917.3]
110,[919.09344],[920.6]
111,[922.82684],[921.3]
112,[922.42554],[922.7]
113,[924.17554],[924.8]
114,[926.17786],[928.]
115,[929.6843],[929.]
116,[930.0306],[929.9]
