,1,2,3,4,5,6,7,8,9,10,11
0,552.2,360.5866,342.4192,356.1138,200.7247,290.2915,126.7851,289.905,154.119,115.5755,134.0189
1,554.8,363.8933,343.8096,356.0152,203.5006,294.7098,126.217,294.9872,153.4022,116.6744,137.424
2,556.7,362.8014,348.4942,357.6241,205.1996,294.884,125.9255,298.3912,157.8244,119.6905,138.8967
3,560.6,359.9052,354.5795,362.2037,205.516,299.8089,126.3032,303.677,163.8073,119.1275,139.5894
4,561.6,359.3117,356.2229,362.6813,208.5782,300.6806,128.6064,304.3872,169.9963,116.8128,143.8258
5,563.2,360.5043,357.1251,370.0224,212.2138,296.1869,128.5222,305.0854,175.2115,116.9766,147.7837
6,565.6,363.6808,357.1764,374.0878,213.9099,300.277,128.2781,308.4217,178.3902,120.9253,151.9202
7,565.7,366.4039,360.8035,375.6814,217.3985,302.3101,130.6767,308.8156,181.024,121.5124,154.6058
8,566.1,370.6823,365.4176,380.4758,224.2888,301.5049,129.4105,307.2225,183.3032,122.7871,157.8853
9,568.6,376.2995,371.8075,385.1128,231.5908,305.2813,131.2897,310.683,186.2165,126.7978,161.1981
10,571.2,378.3058,376.1923,389.1014,234.7061,310.6757,132.1757,310.6186,191.9232,125.0928,165.191
11,571.7,380.4092,377.8937,393.5011,236.9125,315.9786,134.6925,313.5203,196.6076,125.8883,169.3947
12,574.4,382.7227,382.7227,400.8738,237.5144,318.1027,141.7045,319.711,200.4082,129.0102,173.8134
13,576.4,387.9172,384.4012,409.1864,240.4164,320.8819,144.2729,325.4931,204.2185,129.1136,177.3006
14,582.2,384.4849,383.728,414.0024,244.4076,318.9292,147.8206,327.4293,202.0234,129.0155,177.8039
15,589.2,384.0995,387.1044,418.332,246.5213,320.5837,149.7157,328.8325,205.6897,130.2132,176.1119
16,590.4,379.2139,389.1917,421.1914,246.7282,321.1776,152.3232,330.5059,212.3078,129.829,180.072
17,593.8,382.2291,392.0268,425.2202,249.2179,329.6778,147.7968,339.1192,215.3119,131.2892,183.1873
18,598.2,386.3774,394.812,429.2085,248.3128,335.5902,142.4912,342.8882,217.8046,130.5272,183.109
19,604.7,382.5332,393.4178,433.0257,248.2898,339.7809,139.3834,348.6096,217.3292,130.1314,182.6194
